satellite,contact_id,station,tle_role,tle_epoch_utc,tle_line1,tle_line2,raw_start_utc,raw_end_utc,raw_samples,doppler_nonnull,doppler_nonzero,doppler_above_floor,presented_start_utc,presented_end_utc,presented_doppler_measurements,estimator_eligible,estimator_exclusion_reason,gps_fixes_in_presented_window,primary_accuracy_eligible,primary_exclusion_reason,batch_healthy,batch_offset_s,batch_offset_std_s,batch_frequency_bias_hz,batch_condition,batch_rank,batch_at_bound,prior_median_error_km,prior_rms_error_km,batch_median_error_km,batch_rms_error_km
FOREST-19,dc8c6112-48a4-4713-8b24-daa04ac09048,SVALSAT,recorded_only,2026-05-03T09:23:21.992928Z,1 90919U 00000AAA 26123.39122677  .00000000  00000-0  15851-2 0  9991,2 90919  97.7594  21.4292 0002309 187.8308 131.5480 14.92510159    09,2026-05-03T09:53:00+00:00,2026-05-03T10:01:00+00:00,1431,475,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,28e194fe-197d-4ec1-b4e4-c206bc5ebb54,AWARUA,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T10:40:55+00:00,2026-05-03T10:42:45+00:00,331,110,84,84,2026-05-03T10:40:56.219612+00:00,2026-05-03T10:42:29.338365+00:00,70,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,7825d181-49f4-46e5-9bfe-0e9a99500190,AWARUA,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T11:57:22.188431+00:00,2026-05-03T12:20:59.983401+00:00,3466,1405,0,0,,,0,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,a22fbafe-9e67-4eb3-b02b-7f108aa1b80b,TROLL,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T12:22:00.108505+00:00,2026-05-03T12:34:54.651116+00:00,2322,774,189,189,2026-05-03T12:24:37.303260+00:00,2026-05-03T12:32:52.578205+00:00,189,False,fewer_than_301_presented_doppler_measurements,3,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,f80c6227-6cc9-441f-ae4f-13c37b361b00,SVALSAT,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T12:56:20.117565+00:00,2026-05-03T13:22:20.019669+00:00,3622,1531,148,148,2026-05-03T13:07:07.540632+00:00,2026-05-03T13:13:17.656160+00:00,148,False,fewer_than_301_presented_doppler_measurements,4,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,2e914640-332d-4846-8126-0c7d58e2a568,TROLL,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T15:23:04.078930+00:00,2026-05-03T15:51:28.079573+00:00,3542,1418,156,156,2026-05-03T15:35:44.538784+00:00,2026-05-03T15:40:23.709613+00:00,156,False,fewer_than_301_presented_doppler_measurements,5,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,399cf06a-3730-4818-8f75-270388e8fd0a,SVALSAT,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T17:50:01.153676+00:00,2026-05-03T18:15:56.076481+00:00,3653,1549,275,275,2026-05-03T18:00:34.479490+00:00,2026-05-03T18:08:12.724352+00:00,275,False,fewer_than_301_presented_doppler_measurements,7,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,d2af3474-5932-431d-ae42-c7ce901c93ba,TROLL,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T18:40:28.112289+00:00,2026-05-03T18:57:41.703199+00:00,2467,865,358,358,2026-05-03T18:43:07.219705+00:00,2026-05-03T18:52:27.545014+00:00,358,True,,8,True,,True,-0.3767139499919802,1.534251480494751,-85.52510215189872,3.530363511413625,2,False,2.4368287399661126,2.4459922652434765,5.249215136302601,5.257474607459466
FOREST-19,5d035d45-52f9-4d77-86fa-7e4917f23992,SVALSAT,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T21:11:15.059507+00:00,2026-05-03T21:28:19.760669+00:00,2736,1006,159,159,2026-05-03T21:17:47.314688+00:00,2026-05-03T21:21:59.455180+00:00,159,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,SVALSAT,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T22:47:18.096097+00:00,2026-05-03T23:04:57.652053+00:00,2842,1041,89,89,2026-05-03T22:49:13.185074+00:00,2026-05-03T22:52:04.293769+00:00,89,False,fewer_than_301_presented_doppler_measurements,3,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,AWARUA,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-03T23:44:06.241471+00:00,2026-05-04T00:01:54.810689+00:00,2878,1054,531,531,2026-05-03T23:47:15.296679+00:00,2026-05-03T23:58:01.646697+00:00,521,True,,11,True,,True,0.303113094363039,0.8767350688468821,648.2379989817603,2.3922348707716767,2,False,2.7455769457806714,2.7611659902797934,0.4939910631070172,0.5146546359264426
FOREST-19,c862d412-bfa6-4ff1-bd12-935e690521fb,SVALSAT,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-04T01:58:39.126750+00:00,2026-05-04T02:16:16.644855+00:00,2837,1040,30,30,2026-05-04T02:00:37.156173+00:00,2026-05-04T02:01:46.222667+00:00,30,False,fewer_than_301_presented_doppler_measurements,0,False,not_estimator_eligible,,,,,,,,,,,
FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,SVALSAT,analysis_prior,2026-05-03T09:21:02.043072Z,1 90919U 00000AAA 26123.38960698  .00000000  00000-0  15851-2 0  9993,2 90919  97.7424  21.6734 0001942 141.5194 165.3859 14.92112300    07,2026-05-04T05:09:13.048181+00:00,2026-05-04T05:26:49.694147+00:00,2831,1037,357,357,2026-05-04T05:11:51.150377+00:00,2026-05-04T05:19:49.540117+00:00,357,True,,0,False,fewer_than_5_same_pass_gps_fixes,True,0.16792205650254227,0.9069958806495791,866.284778468507,3.248025867915525,2,False,,,,
