satellite,contact_id,station,start_utc_s,end_utc_s,observations,batch_offset_s,batch_offset_std_s,batch_offset_variance_s2,batch_covariance,batch_frequency_bias_hz,batch_doppler_rmse_hz,batch_condition,batch_rank,batch_at_bound,batch_healthy,in_pass_prior_fixes,in_pass_prior_best_km,in_pass_prior_median_km,in_pass_prior_p90_km,in_pass_prior_worst_km,in_pass_prior_rms_km,in_pass_batch_fixes,in_pass_batch_best_km,in_pass_batch_median_km,in_pass_batch_p90_km,in_pass_batch_worst_km,in_pass_batch_rms_km
FOREST-17,6569e3a1-7aa1-4ff3-a2c0-cd1cd88fd85a,SVALSAT,1777813641.493384,1777814093.798579,213,21.536825417273317,25.432996907499145,646.837331696861,"((646.837331696861, 93216.08695462748), (93216.08695462743, 13973664.908077687))",4048.5928864759894,34778.43482343175,10.153609948918023,2,False,True,8,1.755781998763467,1.8278701873237218,1.8636811534114905,1.867797631042791,1.8221362839758817,8,164.54982986480883,164.60958296136485,164.63892639001173,164.64195471146277,164.60443300088698
FOREST-17,5233c319-41fd-4896-847f-112ddfe9c56d,TROLL,1777828233.509256,1777828709.8280818,264,-1.1549913526141349,4.035284158235723,16.28351823770819,"((16.28351823770819, 2814.3156016855687), (2814.3156016855696, 599213.39141336))",-275.6062924016393,23381.284937076078,4.429320978486642,2,False,True,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
FOREST-17,74df0163-cf66-41f9-b960-409fca756c93,SVALSAT,1777831268.4955008,1777831341.5316398,51,119.99999999999999,212.6202864394601,45207.386205598064,"((45207.386205598064, 7174557.674051438), (7174557.674051435, 1141231867.5959642))",12918.439175883372,36966.68019149765,41.873450990688816,2,True,False,1,4.623164832139383,4.623164832139383,4.623164832139383,4.623164832139383,4.623164832139383,1,910.9803751414031,910.9803751414031,910.9803751414031,910.9803751414031,910.9803751414031
FOREST-17,2610bd5f-3a3f-4756-be38-d31392d4324c,HARTEBEESTHOEK,1777838643.162277,1777839239.537732,349,-4.135697065127946,2.1103180386117324,4.453442224090069,"((4.453442224090069, 1170.202428281799), (1170.2024282817997, 364739.83323980245))",-929.8994330315712,33314.16200184381,5.626164279211204,2,False,True,7,6.383793246706338,6.3950857702494766,6.396628210653864,6.3971806995032185,6.392938487519892,7,24.84919758434949,24.85577728130217,24.86806871876748,24.871769175034505,24.858297283728394
FOREST-17,36c92afa-8853-4630-a788-ad2e63912d51,TROLL,1777845274.185557,1777845864.590709,370,-0.441063265943708,1.1163939117664061,1.2463353662290981,"((1.2463353662290981, 222.73861835403312), (222.7386183540332, 67790.6790714545))",71.97295228550098,17670.177162479846,2.9514071979663656,2,False,True,10,7.123283306985276,7.186209699729114,7.236488516038728,7.24849720792741,7.185836098609144,10,3.7945356484691706,3.8574238914078327,3.907361113243214,3.919227560075571,3.8570486689955428
FOREST-17,d61bfc77-1d1c-4e82-91fd-6e7489e73cb3,SVALSAT,1777848605.198813,1777848789.312098,103,0.1602800855528588,28.60886175190823,818.4669707397975,"((818.4669707397975, 25644.79116841391), (25644.79116841391, 1125004.0319954026))",130.61775212977562,28877.36378025655,8.710828205770957,2,False,True,2,7.777632455169382,7.795265595465574,7.809372107702528,7.812898735761767,7.795285538803948,2,8.988363549120045,9.005992010557188,9.020094779706902,9.023620471994331,9.006009263645721
FOREST-17,d623db96-56fd-4783-9f1e-bf3933f4dbd8,PUNTA_ARENAS,1777856804.1767988,1777857228.439478,344,-0.5086520483805009,3.4013953877676983,11.56949058392737,"((11.56949058392737, 2163.5238436775294), (2163.52384367753, 424258.7399953599))",755.4267061007951,14586.761092561033,9.269235952889403,2,False,True,5,8.274697218512983,8.336725343213235,8.446588928081376,8.496767866032929,8.35720036120308,5,4.437696244760506,4.499702101921929,4.609193698544614,4.659145824062686,4.520361047939642
FOREST-17,01448cbd-3659-4184-89c2-7883e4a3c6c7,SVALSAT,1777860129.1874108,1777860198.224597,62,49.10558115563316,114.40266057039794,13087.968745585684,"((13087.968745585684, 394086.6120050802), (394086.6120050804, 12272860.580791697))",1016.3842933895731,22072.713959625642,30.876235964339607,2,False,True,1,9.43270485130458,9.43270485130458,9.43270485130458,9.43270485130458,9.43270485130458,1,380.5873149158117,380.5873149158117,380.5873149158117,380.5873149158117,380.5873149158117
FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,SVALSAT,1777865863.144481,1777866512.569257,240,-1.501291497501141,3.0930218432225947,9.566784122652097,"((9.566784122652097, 592.1453705859104), (592.1453705859107, 79386.02427068968))",1050.6828322313133,17622.420112221887,2.8929619246042173,2,False,True,6,11.10943183601488,11.24400149712302,11.311805164853514,11.327306872543307,11.231457677239009,6,0.39970365036035577,0.47248926057669544,0.5497433785518175,0.5753782966035874,0.48236153578522206
FOREST-18,6d7785df-a7a7-4963-8fcc-bdebf3a6dc80,TROLL,1777811053.202667,1777811680.516597,71,119.99999999999999,46.62369173895901,2173.768631369475,"((2173.768631369475, 91806.24647777855), (91806.24647777856, 9625738.28235171))",78413.72314750057,80281.78067022786,3.4694438464510338,2,True,False,10,2.8314991384827897,2.9306093960262896,2.9807465917322946,2.988756130185045,2.923194250503197,10,907.7765778163769,908.0833324672303,908.4265398569809,908.5212234326686,908.1097962405474
FOREST-18,b2015720-f0bb-48e7-b19a-131a592c9501,PUNTA_ARENAS,1777817327.471582,1777817439.5287359,29,-4.216554450400654,48.51958144502248,2354.14978360017,"((2354.14978360017, 342568.33166935743), (342568.33166935755, 50151244.92208245))",346.8935111228135,13701.900638543866,25.970495602551363,2,False,True,2,4.498384961189767,4.505516666679697,4.511222031071642,4.512648372169628,4.505522311003656,2,27.327363248621626,27.333238543336222,27.337938779107898,27.339113838050817,27.333239174785135
FOREST-18,49e74a6c-b21d-46c0-87bb-e4195b4a0dab,PUNTA_ARENAS,1777828735.4406278,1777829281.741531,471,0.1124594993088363,2.880723205991843,8.298566189539923,"((8.298566189539923, 1340.3477993089189), (1340.3477993089193, 264312.17307090596))",944.2814808681679,23644.362352017906,4.490051783238561,2,False,True,9,9.941601306060514,9.976358126569039,9.985338495390733,9.985399142913787,9.972394048524091,9,10.79005980792397,10.825809886134873,10.834515413134671,10.834550764671423,10.821364271889852
FOREST-18,6c22b929-f451-4e3f-bc5d-fc4e230c6c02,SVALSAT,1777831237.4934568,1777831303.5562649,32,-119.99999999997351,367.75274405104204,135242.08075707123,"((135242.08075707123, 7806221.897384811), (7806221.897384808, 455706250.37156934))",-13269.105180906803,39024.93054142276,30.315821050448434,2,True,False,1,9.508321957860133,9.508321957860133,9.508321957860133,9.508321957860133,9.508321957860133,1,897.7392502978556,897.7392502978556,897.7392502978556,897.7392502978556,897.7392502978556
FOREST-18,48de3125-1fd3-40df-be87-5fc55aa2485f,TROLL,1777839505.198752,1777840099.5466359,341,-2.207008934592969,0.7192194222696044,0.5172765773698236,"((0.5172765773698236, 124.41334435548575), (124.41334435548579, 49912.40563690847))",128.81010968605014,16343.500086791792,3.5078890579460595,2,False,True,10,15.121492087712431,15.349585337786758,15.470591934885984,15.492829481916695,15.33275840352912,10,1.1883770545544112,1.376981683385441,1.5925481856921089,1.653412494799185,1.4031521884773779
FOREST-18,2735b79f-1ae2-4be6-9b13-774d026efd72,SVALSAT,1777842796.0510669,1777843420.437676,336,-2.541022119061809,2.3016249974722083,5.297477628988943,"((5.297477628988943, 569.9408963760557), (569.9408963760557, 84987.50978558334))",165.12242719815106,18503.205891390204,3.6602544729903825,2,False,True,4,14.43330186772401,14.463048590682204,14.492899727990103,14.500749770973044,14.465059297160588,4,4.736111908291958,4.768867400457262,4.79068111646571,4.795597112162793,4.767413192552429
FOREST-18,7654ef67-7aba-4f18-bf0a-65eacc1b6a22,SVALSAT,1777848559.221401,1777849258.6674368,339,-2.2329643985300334,1.113730774415455,1.2403962378800493,"((1.2403962378800493, 197.48399193442012), (197.48399193442012, 59934.05311061791))",-45.20142551526909,17022.154355547234,2.6326719888630556,2,False,True,3,16.722016758599846,16.744291818269637,16.766232420067944,16.77171757051752,16.746021052133266,3,0.28757881208310326,0.3073251924913507,0.3260326461655953,0.33070950958415646,0.3090410581289418
FOREST-18,105f1f16-870e-4658-9a38-41c74ea5939c,TROLL,1777851074.18241,1777851549.458704,322,-2.7698235502156416,3.8479317620341402,14.806578845271162,"((14.806578845271162, 2640.850305214436), (2640.850305214437, 505032.16061930836))",-63.312276709795945,20128.506907864958,7.615296745244473,2,False,True,7,19.450944269972172,19.555461530378675,19.61645865301529,19.629129824592876,19.548824703108316,7,1.2959183492913886,1.3903990627993104,1.4922723206384703,1.5204676160373438,1.400081691473934
FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,AWARUA,1777857799.261813,1777858329.500393,337,-3.042295412337625,4.054912236917911,16.442313249106615,"((16.442313249106615, 2882.59649222958), (2882.59649222958, 540090.6070528511))",763.898589633318,20334.488181530858,7.786734275390266,2,False,True,8,21.349262033471824,21.39124974619928,21.410329577103383,21.413864489938813,21.386812150053956,8,1.5552545910231919,1.585250330942805,1.6251675553602831,1.6370718096632055,1.5904601822944582
FOREST-18,7f6f30f5-0820-469d-9ab6-71b9523e8939,SVALSAT,1777860078.301457,1777860486.4480329,170,-2.643856189401454,2.886046318246062,8.329263351061648,"((8.329263351061648, 879.8505775449863), (879.8505775449863, 253902.85808961268))",-20.80610633618814,30956.946648256424,2.019429649028355,2,False,True,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,PUNTA_ARENAS,1777868171.165606,1777868673.5397148,212,-4.118094448848304,7.376630043131227,54.41467079322621,"((54.41467079322621, 8243.256074811632), (8243.256074811634, 1312455.4687567248))",728.3686370513709,22494.567765108386,8.990527041118327,2,False,True,9,26.15609858540901,26.346265818196546,26.472362162076863,26.499123494010586,26.338719937244,9,4.6150109097306995,4.782634704878882,4.945176380696858,4.989863060827509,4.79242721160017
FOREST-19,28e194fe-197d-4ec1-b4e4-c206bc5ebb54,AWARUA,1777804856.219612,1777804949.3383648,70,102.0743545325645,238.56251992344534,56912.07591222425,"((56912.07591222425, -32700.692517022133), (-32700.692517022137, 182257.74654256718))",242.16095539296902,11663.81567843675,98.34201277924494,2,False,True,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
FOREST-19,a22fbafe-9e67-4eb3-b02b-7f108aa1b80b,TROLL,1777811077.3032598,1777811572.5782049,189,-0.3124972060096028,1.9977024306819278,3.990815001552482,"((3.990815001552482, 781.0965654600473), (781.0965654600474, 287219.82920550765))",1343.4537372887362,18934.550987538725,2.919457688568944,2,False,True,3,2.098752571909723,2.115511294543466,2.264842679832412,2.3021755261546484,2.174102308897788,3,4.448183959046997,4.465506189960221,4.613489169232405,4.650484914050451,4.5223185794422935
FOREST-19,f80c6227-6cc9-441f-ae4f-13c37b361b00,SVALSAT,1777813627.540632,1777813997.6561599,148,-20.843264530762212,25.38463354043372,644.3796199821126,"((644.3796199821126, 88618.15178207913), (88618.15178207909, 12622642.64178882))",-3779.3802572102304,37782.66837624469,10.840364216753306,2,False,True,4,2.8453798001272093,2.961763132141699,3.0454576471534707,3.054125908976276,2.957025933925335,4,160.481732462421,160.59986474522196,160.68595840222585,160.6949450406328,160.59412614616954
FOREST-19,2e914640-332d-4846-8126-0c7d58e2a568,TROLL,1777822544.538784,1777822823.7096128,156,-68.01724081111146,9.598254251377977,92.1264846740954,"((92.1264846740954, 21398.602856527665), (21398.60285652767, 5551288.787372966))",-18224.59863816594,34063.0285998847,6.497777647011326,2,False,True,5,3.246894903083437,3.2871851519450117,3.322074227273452,3.3304312877206246,3.288235618587786,5,516.4534088439815,516.4904245858115,516.5421285633507,516.5563410674428,516.4978060701052
FOREST-19,399cf06a-3730-4818-8f75-270388e8fd0a,SVALSAT,1777831234.4794898,1777831692.724352,275,-0.2383316042313965,7.611907282126325,57.94113247168778,"((57.94113247168778, 7845.3542376129535), (7845.354237612948, 1100877.9944057746))",-432.2164284333647,18898.121571032567,10.781249194825953,2,False,True,7,3.8182108544735174,3.9101688188481427,3.959871417132715,3.9703972254484547,3.901718706440173,7,5.610879277950042,5.706363057691039,5.758497329189937,5.769576770687098,5.697663718260368
FOREST-19,d2af3474-5932-431d-ae42-c7ce901c93ba,TROLL,1777833787.2197049,1777834347.545014,358,-0.3767139499919802,1.534251480494751,2.3539276054003353,"((2.3539276054003353, 376.30717898181683), (376.3071789818169, 83453.50935423108))",-85.52510215189872,17160.986873510727,3.530363511413625,2,False,True,8,2.2601490391440215,2.4368287399661126,2.600938969479712,2.6412907380867185,2.4459922652434765,8,5.080616217280116,5.249215136302601,5.410032268913577,5.45001051755561,5.257474607459466
FOREST-19,5d035d45-52f9-4d77-86fa-7e4917f23992,SVALSAT,1777843067.314688,1777843319.45518,159,-1.5366069600169538,4.932393355549543,24.32850421386928,"((24.32850421386928, 6992.921152951809), (6992.921152951809, 2082435.0862746732))",95.80497381881561,17863.4639423819,12.388216913964095,2,False,True,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,SVALSAT,1777848553.1850739,1777848724.293769,89,-16.91672366823603,65.46172454520834,4285.237380432732,"((4285.237380432732, 76263.34626216027), (76263.34626216025, 1675472.5987779736))",-615.7210598873628,21251.29128392764,19.561450884337933,2,False,True,3,3.852006747730044,3.8853994866855257,3.908350953750232,3.9140888205164086,3.8839145395071655,3,131.80924475677014,131.84515360361465,131.87031370037218,131.87660372456156,131.84367023364695
FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,AWARUA,1777852035.296679,1777852681.6466968,521,0.303113094363039,0.8767350688468821,0.7686643809459471,"((0.7686643809459471, 109.50445717893423), (109.50445717893422, 33336.185479840526))",648.2379989817603,17663.529096749073,2.3922348707716767,2,False,True,11,2.670352914811693,2.7455769457806714,2.861541557030949,2.8991011388183754,2.7611659902797934,11,0.40022309043352033,0.4939910631070172,0.6216395402512016,0.6603337078261287,0.5146546359264426
FOREST-19,c862d412-bfa6-4ff1-bd12-935e690521fb,SVALSAT,1777860037.156173,1777860106.222667,30,12.562292841922789,308.79986537614604,95357.35685632592,"((95357.35685632592, 1305624.0621179352), (1305624.0621179356, 18884599.09724869))",-810.2991171954909,25498.948482357857,51.60512995106244,2,False,True,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,SVALSAT,1777871511.150377,1777871989.540117,357,0.16792205650254227,0.9069958806495791,0.8226415275153056,"((0.8226415275153056, 179.6991664849019), (179.6991664849019, 67517.12522721874))",866.284778468507,23159.140218297252,3.248025867915525,2,False,True,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
