configuration,spacecraft,cohort,denominator,statuses,local_successful,local_scored,local_median_rms_m,forecast_successful,forecast_scored,forecast_median_rms_m,target_achieved
L+n/trace,FOREST-19,all,10,"{""selection_failed"": 1, ""converged"": 8, ""screening_failed"": 1}",0,8,14317.424373974627,0,8,36262.37754711971,False
L+n/trace,FOREST-19,matched,3,"{""converged"": 3}",0,3,13777.501865961503,0,3,33241.87118325304,False
L/1,pooled,all,38,"{""converged"": 31, ""screening_failed"": 7}",0,31,16892.479894416883,0,31,191900.64501971484,False
L/1,pooled,matched,6,"{""converged"": 6}",0,6,19159.71748062525,0,6,201178.21274730406,False
L/1,FOREST-16,all,8,"{""converged"": 7, ""screening_failed"": 1}",0,7,19252.073375382653,0,7,210311.93131176214,False
L/1,FOREST-16,matched,1,"{""converged"": 1}",0,1,19011.077242373878,0,1,210525.55470894894,False
L/1,FOREST-17,all,9,"{""converged"": 7, ""screening_failed"": 2}",0,7,16489.1749051594,0,7,180462.18698483834,False
L/1,FOREST-17,matched,1,"{""converged"": 1}",0,1,9214.069205886728,0,1,180462.18698483834,False
L/1,FOREST-18,all,11,"{""screening_failed"": 3, ""converged"": 8}",0,8,12577.51960618125,0,8,191129.59472889805,False
L/1,FOREST-18,matched,1,"{""converged"": 1}",0,1,19308.35771887662,0,1,194806.17112143303,False
L/1,FOREST-19,all,10,"{""converged"": 9, ""screening_failed"": 1}",0,9,16430.768313876597,0,9,203157.30409905806,False
L/1,FOREST-19,matched,3,"{""converged"": 3}",0,3,21102.74534707133,0,3,207550.25437317506,False
L/3,pooled,all,38,"{""warm_up"": 5, ""converged"": 26, ""screening_failed"": 7}",0,26,17721.346292234564,0,26,203908.3411934576,False
L/3,pooled,matched,6,"{""converged"": 6}",0,6,20064.32538027045,0,6,212693.62446433285,False
L/3,FOREST-16,all,8,"{""warm_up"": 1, ""converged"": 6, ""screening_failed"": 1}",0,6,24891.57902563214,0,6,223219.06744785194,False
L/3,FOREST-16,matched,1,"{""converged"": 1}",0,1,20086.320757895097,0,1,217457.46177965307,False
L/3,FOREST-17,all,9,"{""warm_up"": 1, ""converged"": 6, ""screening_failed"": 2}",0,6,17721.346292234564,0,6,186039.0121718839,False
