passes,profile,spacecraft,contact_id,status,reason,local_rms_km,forecast_rms_km,local_failure,forecast_failure,local_reference_status,forecast_reference_status,nfev,njev,runtime_s
6,cohort,FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,converged,`ftol` termination condition is satisfied.,3.173,14.631,,,accepted,candidate,11,9,29.189017465001598
6,cohort,FOREST-18,7f6f30f5-0820-469d-9ab6-71b9523e8939,converged,`ftol` termination condition is satisfied.,2.911,42.682,,,accepted,candidate,11,10,27.39504071800002
6,cohort,FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,converged,`ftol` termination condition is satisfied.,2.322,31.883,,,accepted,candidate,9,8,25.386287032000837
6,cohort,FOREST-19,a22fbafe-9e67-4eb3-b02b-7f108aa1b80b,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
6,cohort,FOREST-19,f80c6227-6cc9-441f-ae4f-13c37b361b00,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
6,cohort,FOREST-19,2e914640-332d-4846-8126-0c7d58e2a568,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
6,cohort,FOREST-19,399cf06a-3730-4818-8f75-270388e8fd0a,warm_up,,unavailable,unavailable,,,candidate,candidate,,,
6,cohort,FOREST-19,d2af3474-5932-431d-ae42-c7ce901c93ba,converged,`ftol` termination condition is satisfied.,11.225,66.905,,,candidate,candidate,6,5,12.98692559600022
6,cohort,FOREST-19,5d035d45-52f9-4d77-86fa-7e4917f23992,converged,`ftol` termination condition is satisfied.,8.751,81.887,,,candidate,candidate,6,5,14.29848577699886
6,cohort,FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,converged,`ftol` termination condition is satisfied.,5.749,121.878,,,candidate,candidate,6,5,14.001784861999113
6,cohort,FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,converged,`ftol` termination condition is satisfied.,2.850,6.768,,,candidate,candidate,9,7,19.722059808998893
6,cohort,FOREST-19,c862d412-bfa6-4ff1-bd12-935e690521fb,screening_failed,,unavailable,unavailable,,,candidate,candidate,,,
6,cohort,FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,converged,`ftol` termination condition is satisfied.,1.767,15.158,,,candidate,candidate,9,8,20.498920337999152
8,baseline,FOREST-16,556b1cfa-0a8e-4d19-8f95-b123fd47cd60,converged,`ftol` termination condition is satisfied.,3.340,20.628,,,accepted,candidate,16,14,25.91996491000009
8,baseline,FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,converged,`ftol` termination condition is satisfied.,4.523,33.379,,,accepted,accepted,10,8,21.830710172999716
8,baseline,FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,converged,`ftol` termination condition is satisfied.,1.675,19.476,,,accepted,candidate,13,11,32.33243506399958
8,baseline,FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,converged,`ftol` termination condition is satisfied.,9.401,73.683,,,candidate,candidate,8,7,14.466643123000722
8,baseline,FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,converged,`ftol` termination condition is satisfied.,4.019,29.182,,,candidate,candidate,16,14,22.903804142999434
8,baseline,FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,converged,`ftol` termination condition is satisfied.,2.007,26.635,,,candidate,candidate,10,8,22.581282022000778
