satellite,contact_id,station,raw_samples,doppler_nonnull,doppler_nonzero,doppler_above_floor,presented_samples,eligible,metadata_constant,raw_start_utc,raw_end_utc,presented_start_utc,presented_end_utc,gps_fixes_in_presented_window
FOREST-18,8db51bff-de04-4287-b3c8-4f949e7a8df1,AWARUA,2485,928,342,342,337,True,True,2026-05-04T01:20:16.264068+00:00,2026-05-04T01:35:43.599906+00:00,2026-05-04T01:23:19.261813+00:00,2026-05-04T01:32:09.500393+00:00,8
FOREST-18,7f6f30f5-0820-469d-9ab6-71b9523e8939,SVALSAT,2805,1024,170,170,170,False,True,2026-05-04T01:58:39.310713+00:00,2026-05-04T02:16:15.689935+00:00,2026-05-04T02:01:18.301457+00:00,2026-05-04T02:08:06.448033+00:00,0
FOREST-18,4d451626-a662-4148-8369-abbcd6001b6a,PUNTA_ARENAS,2504,934,212,212,212,False,True,2026-05-04T04:13:06.056800+00:00,2026-05-04T04:28:39.548511+00:00,2026-05-04T04:16:11.165606+00:00,2026-05-04T04:24:33.539715+00:00,9
FOREST-19,4a452e93-b302-4029-b583-7e0e061cbc64,SVALSAT,4097,1685,0,0,0,False,True,2026-05-03T09:40:41.142928+00:00,2026-05-03T10:09:28.976325+00:00,,,0
FOREST-19,827d2f56-abc5-46cf-97b9-bc8883c9acca,SVALSAT,2855,1064,0,0,0,False,True,2026-05-03T09:46:29.065422+00:00,2026-05-03T10:04:28.670885+00:00,,,0
FOREST-19,dc8c6112-48a4-4713-8b24-daa04ac09048,SVALSAT,1431,475,0,0,0,False,True,2026-05-03T09:53:00+00:00,2026-05-03T10:01:00+00:00,,,0
FOREST-19,28e194fe-197d-4ec1-b4e4-c206bc5ebb54,AWARUA,331,110,84,84,70,False,True,2026-05-03T10:40:55+00:00,2026-05-03T10:42:45+00:00,2026-05-03T10:40:56.219612+00:00,2026-05-03T10:42:29.338365+00:00,0
FOREST-19,7825d181-49f4-46e5-9bfe-0e9a99500190,AWARUA,3466,1405,0,0,0,False,True,2026-05-03T11:57:22.188431+00:00,2026-05-03T12:20:59.983401+00:00,,,0
FOREST-19,a22fbafe-9e67-4eb3-b02b-7f108aa1b80b,TROLL,2322,774,189,189,189,False,True,2026-05-03T12:22:00.108505+00:00,2026-05-03T12:34:54.651116+00:00,2026-05-03T12:24:37.303260+00:00,2026-05-03T12:32:52.578205+00:00,3
FOREST-19,f80c6227-6cc9-441f-ae4f-13c37b361b00,SVALSAT,3622,1531,148,148,148,False,True,2026-05-03T12:56:20.117565+00:00,2026-05-03T13:22:20.019669+00:00,2026-05-03T13:07:07.540632+00:00,2026-05-03T13:13:17.656160+00:00,4
FOREST-19,2e914640-332d-4846-8126-0c7d58e2a568,TROLL,3542,1418,156,156,156,False,True,2026-05-03T15:23:04.078930+00:00,2026-05-03T15:51:28.079573+00:00,2026-05-03T15:35:44.538784+00:00,2026-05-03T15:40:23.709613+00:00,5
FOREST-19,399cf06a-3730-4818-8f75-270388e8fd0a,SVALSAT,3653,1549,275,275,275,False,True,2026-05-03T17:50:01.153676+00:00,2026-05-03T18:15:56.076481+00:00,2026-05-03T18:00:34.479490+00:00,2026-05-03T18:08:12.724352+00:00,7
FOREST-19,d2af3474-5932-431d-ae42-c7ce901c93ba,TROLL,2467,865,358,358,358,True,True,2026-05-03T18:40:28.112289+00:00,2026-05-03T18:57:41.703199+00:00,2026-05-03T18:43:07.219705+00:00,2026-05-03T18:52:27.545014+00:00,8
FOREST-19,5d035d45-52f9-4d77-86fa-7e4917f23992,SVALSAT,2736,1006,159,159,159,False,True,2026-05-03T21:11:15.059507+00:00,2026-05-03T21:28:19.760669+00:00,2026-05-03T21:17:47.314688+00:00,2026-05-03T21:21:59.455180+00:00,0
FOREST-19,8c5807c9-daa1-4957-a3a5-2711acfae882,SVALSAT,2842,1041,89,89,89,False,True,2026-05-03T22:47:18.096097+00:00,2026-05-03T23:04:57.652053+00:00,2026-05-03T22:49:13.185074+00:00,2026-05-03T22:52:04.293769+00:00,3
FOREST-19,df2618ab-46b7-49bb-a148-ea9f89466869,AWARUA,2878,1054,531,531,521,True,True,2026-05-03T23:44:06.241471+00:00,2026-05-04T00:01:54.810689+00:00,2026-05-03T23:47:15.296679+00:00,2026-05-03T23:58:01.646697+00:00,11
FOREST-19,c862d412-bfa6-4ff1-bd12-935e690521fb,SVALSAT,2837,1040,30,30,30,False,True,2026-05-04T01:58:39.126750+00:00,2026-05-04T02:16:16.644855+00:00,2026-05-04T02:00:37.156173+00:00,2026-05-04T02:01:46.222667+00:00,0
FOREST-19,e629dfe8-8210-4af9-a61d-f02b5377a4fd,SVALSAT,2831,1037,357,357,357,True,True,2026-05-04T05:09:13.048181+00:00,2026-05-04T05:26:49.694147+00:00,2026-05-04T05:11:51.150377+00:00,2026-05-04T05:19:49.540117+00:00,0
