satellite,contact_id,station,tle_role,tle_epoch_utc,tle_line1,tle_line2,recorded_start_utc,recorded_end_utc,accepted_start_utc,accepted_end_utc,raw_telemetry_samples,doppler_nonnull,doppler_nonzero,doppler_above_floor,accepted_doppler_measurements,gps_fixes_in_window,fitted,status,time_correction_s,time_correction_std_s,frequency_correction_hz,batch_healthy,prior_median_error_km,corrected_median_error_km
FOREST-17,01448cbd-3659-4184-89c2-7883e4a3c6c7,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-04T01:59:41.097891+00:00,2026-05-04T02:17:24.702523+00:00,2026-05-04T02:02:09.187411+00:00,2026-05-04T02:03:18.224597+00:00,2843,1040,62,62,62,1,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-17,9303555b-beda-4b39-ac33-b6df9a7e9952,SVALSAT,analysis_prior,2026-05-03T09:19:03.743328Z,1 90917U 00000AAA 26123.38823777  .00000000  00000-0  15851-2 0  9997,2 90917  97.7396  21.6764 0005261 314.5846 344.9937 14.90540572    06,2026-05-04T03:35:06.058524+00:00,2026-05-04T03:52:44.796130+00:00,2026-05-04T03:37:43.144481+00:00,2026-05-04T03:48:32.569257+00:00,2836,1039,240,240,240,6,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,53eafac8-7eae-4d9b-8adc-9066c668410c,SVALSAT,recorded_only,2026-05-03T09:22:38.792928Z,1 90918U 00000AAA 26123.39072677  .00000000  00000-0  15851-2 0  9994,2 90918  97.7530  21.4346 0000636 150.6099 166.1032 14.92314271    08,2026-05-03T09:40:41.120205+00:00,2026-05-03T10:09:27.977468+00:00,,,4111,1692,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,3ccef2f9-751b-4153-b810-267dd4c64a31,AWARUA,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T10:30:02.157114+00:00,2026-05-03T10:32:25+00:00,,,429,143,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,ca8d1c55-2725-4217-bc02-13672ceec9ae,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T11:18:07.087341+00:00,2026-05-03T11:45:43.995110+00:00,,,3930,1637,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,a1bdfcbb-ff7d-47af-8ba1-7fb37ee15e65,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T11:31:17+00:00,2026-05-03T11:38:32+00:00,,,1228,396,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,6d7785df-a7a7-4963-8fcc-bdebf3a6dc80,TROLL,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T12:22:00.107874+00:00,2026-05-03T12:34:55+00:00,2026-05-03T12:24:13.202667+00:00,2026-05-03T12:34:40.516597+00:00,2323,774,72,72,71,10,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,f1550be3-6ca0-48b2-bd87-da21c1e885b6,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T12:56:19.140207+00:00,2026-05-03T13:22:20.084922+00:00,,,3636,1538,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,a5dc9c5c-0fb7-4bc9-9ba3-89a37ff6fac1,SVALSAT,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T13:06:52+00:00,2026-05-03T13:17:49.469197+00:00,,,1756,628,0,0,0,0,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
FOREST-18,b2015720-f0bb-48e7-b19a-131a592c9501,PUNTA_ARENAS,analysis_prior,2026-05-03T09:20:18.843072Z,1 90918U 00000AAA 26123.38910698  .00000000  00000-0  15851-2 0  9997,2 90918  97.7376  21.6797 0001897  93.2348 211.0047 14.92051430    08,2026-05-03T13:56:45.053388+00:00,2026-05-03T14:22:37.918427+00:00,2026-05-03T14:08:47.471582+00:00,2026-05-03T14:10:39.528736+00:00,3608,1525,29,29,29,2,False,Not fitted: fewer_than_301_presented_doppler_measurements,,,,,,
